latin	german
nam	denn
officium	Pflicht
dicere	sagen
num	etwa
posse	koennen
ita	so
quis	wer
onus	last
docere	unterrichten
accedere	sich naehern herbeikommen
praebere	bieten gewaeren
aut	oder
tam	so
cuncti	alle
tandem	schliesslich endlich
eius	sein(e) Ihre(e)
eorum/earum	deren dessen
dare	geben
incitare	anfeuern antreiben
surgere	aufstehen
intere	zwischen / unter
praestare	sich herrfortun / fortun sich auszeichnen besser sein
iterum	wieder
capere	fangen ergreifen
itaque	deshalb
culina	kueche
debere	muessen
non debere	nicht dürfen
adhuc	bis jetzt noch
otium	freizeit
cur	warum
placere	gefallen spass machen
pergere	weitertun fortsetzen
igitur	also
iam	schon gleich jetzt
parare	vorbereiten zu bereiten
quo?	wohin?
ad	zu...hin
esse	sein
simul	gleichzeitig
fere	fast etwa
se	sich
auditor	zu hoerer
ubi?	wo?
crescere	wachsen
ibi 	dort
etiam	auch
qiud?	was?
